"CODIGOCONTRATO","NOMBRE_TIPOREGISTRO","CODIGO_ESPECIALIDAD","NOMBRE_ESPECIALIDAD","CODIGO_CATEGORIA","NOMBRE_CATEGORIA"
271317,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
271317,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
264408,"Otro Registro","0","Sin Especialidad","no existe","no existe"
270354,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
270354,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
269108,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","2da","Segunda"
269108,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
274890,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
270364,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
268902,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
268902,"Contratista O. Mayores","13 O.C.","Obras de Defensas Fluviales","3era B","Tercera B"
263677,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","1era","Primera"
263677,"Contratista O. Mayores","3 O.C.","Pavimentos","1era","Primera"
263677,"Contratista O. Mayores","15 O.C.","Puentes y Cruces Desnivelados","1era","Primera"
263642,"Consultor","1.1.","General (Desarrollo Multidisciplinario)","1a S","Primera Superior"
263642,"Consultor","1.3.","De Sistemas de Transporte","1a S","Primera Superior"
263642,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","1era","Primera"
263697,"Contratista O. Menores","18 O.M.","Seguridad Vial","A a S","A Superior"
275049,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
275676,"Contratista O. Mayores","3 O.C.","Pavimentos","3era A","Tercera A"
272181,"Contratista O. Mayores","9 O.C.","Dragados","3","Tercera"
273944,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
273945,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","2da","Segunda"
273945,"Contratista O. Mayores","3 O.C.","Pavimentos","2da","Segunda"
281709,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
281709,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
281699,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
281699,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era B","Tercera B"
277369,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
277369,"Contratista O. Mayores","5 O.C.","Obras de Colocacion de Tuberias","3era A","Tercera A"
280914,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
280095,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A","A"
281958,"Sin Registro","0","Sin Especialidad","no existe","no existe"
283941,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","A","A"
280095,"Contratista O. Menores","21 O.M.","Obras de Defensas Fluviales","B","B"
280456,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
291727,"Consultor","4.9.","Obras Viales (Urbanas y Rurales)","2da","Segunda"
287177,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","B","B"
278659,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
278659,"Contratista O. Menores","4 O.M.","Hormigón estructural y albañilerías","A","A"
281838,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
283865,"Contratista O. Menores","17 O.M.","Estructuras Metálicas y de Calderería","B","B"
283865,"Contratista O. Menores","18 O.M.","Seguridad Vial","A","A"
284609,"Otro Registro","0","Sin Especialidad","no existe","no existe"
287763,"Sin Registro","0","Sin Especialidad","no existe","no existe"
283614,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era A","Tercera A"
283605,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
287354,"Sin Registro","0","Sin Especialidad","no existe","no existe"
283646,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era A","Tercera A"
289857,"Sin Registro","0","Sin Especialidad","no existe","no existe"
283646,"Contratista O. Mayores","1 O.C.","Obras de Movimiento de Tierra","3era B","Tercera B"
291058,"Contratista O. Menores","1 O.M.","Movimiento de Tierra al Exterior","A","A"
292621,"Contratista O. Mayores","2 O.C.","Obras de Hormigon Estructural","3era B","Tercera B"
