"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Competitividad / Conectividad","Dirección de Vialidad",56967,"40059450-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIA REGIÓN DE LOS LAGOS 2024-2025 ","Los Lagos",01/01/24,30/12/25,1821396,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56963,"40060874-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DE OHIGGINS 2023-2025","Libertador General Bernardo O'Higgins",01/01/24,30/12/24,4093153,"CACHAPOAL, CARDENAL CARO, COLCHAGUA","RANCAGUA, CODEGUA, COINCO, COLTAUCO, DOÑIHUE, GRANEROS, LAS CABRAS, MACHALI, MALLOA, MOSTAZAL, OLIVAR, PEUMO, PICHIDEGUA, QUINTA DE TILCOCO, RENGO, REQUINOA, SAN VICENTE, PICHILEMU, LA ESTRELLA, LITUECHE, MARCHIHUE, NAVIDAD, PAREDONES, SAN FERNANDO, CHEPICA, CHIMBARONGO, LOLOL, NANCAGUA, PALMILLA, PERALILLO, PLACILLA, PUMANQUE, SANTA CRUZ"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56962,"40060879-0","TERMINADO","Sectorial","CONSERVACION EMERGENCIA DE CAUCES NATURALES REGION DE ÑUBLE 2023 - 2025","Ñuble",23/10/23,01/09/24,3832688,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56886,"40060734-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DEL MAULE 2023 - 2025","Maule",20/02/24,08/03/25,16520764,"TALCA, CAUQUENES, CURICO, LINARES","TALCA, CONSTITUCION, CUREPTO, EMPEDRADO, MAULE, PELARCO, PENCAHUE, RIO CLARO, SAN CLEMENTE, SAN RAFAEL, CAUQUENES, CHANCO, PELLUHUE, CURICO, HUALAÑE, LICANTEN, MOLINA, RAUCO, ROMERAL, SAGRADA FAMILIA, TENO, VICHUQUEN, LINARES, COLBUN, LONGAVI, PARRAL, RETIRO, SAN JAVIER, VILLA ALEGRE, YERBAS BUENAS"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",56803,"40060006-0","EN EJECUCION","Sectorial","CONSERVACION CALETA PUNTA LAVAPIE, ARAUCO","Biobío",30/05/24,27/10/24,291822,"ARAUCO","ARAUCO"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",56401,"40059911-0","EN EJECUCION","Sectorial","ANALISIS GEOTECNICO Y DE MAREAS EN PUNTA LAVAPIE, ARAUCO ","Biobío",28/05/24,10/10/24,299363,"ARAUCO","ARAUCO"
"Competitividad / Conectividad","Dirección de Aeropuertos",56373,"40059949-0","EN EJECUCION","Sectorial","CONSERVACION RUTINARIA AREA DE MOVIMIENTO AERÓDROMO DE CALDERA ","Atacama",10/05/24,29/12/24,2207898,"COPIAPO","CALDERA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",56372,"40059955-0","EN EJECUCION","Sectorial","CONSERVACION PUNTO DE POSADA AERÓDROMO DE VALLENAR ","Atacama",16/04/24,01/12/24,406879,"HUASCO","VALLENAR"
"Competitividad / Conectividad","Dirección de Aeropuertos",56359,"40059692-0","EN EJECUCION","Sectorial","CONSERVACION CERCOS Y CAMINOS PERIMETRALES AEROPUERTO ANDRES SABELLA ","Antofagasta",24/04/24,01/11/26,1577258,"ANTOFAGASTA","ANTOFAGASTA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",56357,"40055566-0","EN EJECUCION","Sectorial","CONSTRUCCION PUNTO DE POSADA PARA HELICOPTEROS, AERODROMO LAS MARIAS DE VALDIVIA ","Los Ríos",28/05/24,22/12/24,1134385,"VALDIVIA","VALDIVIA"
"Competitividad / Conectividad","Dirección de Aeropuertos",56356,"40059700-0","EN EJECUCION","Sectorial","CONSERVACION CAMINOS PERIMETRALES PEQUEÑOS AERÓDROMOS REGIÓN DE ANTOFAGASTA","Antofagasta",23/04/24,08/02/25,966160,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",56280,"40059134-0","EN EJECUCION","Sectorial","CONSERVACION URGENCIA PROTECCIÓN COSTERA AV CARLOS ALESSANDRI, ALGARROBO","Valparaíso",22/02/24,16/02/25,621163,"SAN ANTONIO","ALGARROBO"
"Competitividad / Conectividad","Dirección de Aeropuertos",56259,"40059954-0","EN EJECUCION","Sectorial","CONSERVACION RUTINARIA AERÓDROMO DE CHAMONATE ","Atacama",10/05/24,29/10/24,1350266,"COPIAPO","COPIAPO"
"Competitividad / Conectividad","Dirección de Vialidad",56248,"40045916-0","EN EJECUCION","Extrasectorial","CONSERVACION CAMINO BASICO RUTA Q-531, COMUNA DE LOS ANGELES ","Biobío",14/05/24,09/05/25,843404.318,"BIO BIO","LOS ANGELES"
"Competitividad / Conectividad","Dirección de Aeropuertos",56154,"40059229-0","EN EJECUCION","Sectorial","CONSERVACION AERÓDROMO LAS BRUJAS 2024, SALAMANCA, REGIÓN DE COQUIMBO PROVINCIA DE CHOAPA","Coquimbo",10/04/24,21/10/24,1407335,"CHOAPA","SALAMANCA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",56153,"40059299-0","EN EJECUCION","Sectorial","CONSERVACION PUNTO DE POSADA AERÓDROMO DE CHAÑARAL, REGIÓN DE ATACAMA PROVINCIA DE CHAÑARAL","Atacama",01/01/24,09/10/24,362538,"CHAÑARAL","CHAÑARAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",56144,"40058236-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA SERVICIO SANITARIO RURAL COPIULEMU, COMUNA DE FLORIDA","Biobío",01/01/24,30/12/24,493660,"CONCEPCION","FLORIDA"
"Competitividad / Conectividad","Dirección de Vialidad",56137,"40056888-0","EN EJECUCION","Sectorial","CONSERVACION RED VIAL PROVINCIA DE MALLECO Y CAUTIN 2023-2025 ","La Araucanía",01/01/24,21/01/26,16302401,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",56129,"40055025-0","EN EJECUCION","Sectorial","CONSTRUCCION SERVICIO APR IMULFUDI PILFE TRANA LANCO","Los Ríos",01/01/23,25/08/25,2165593,"VALDIVIA","LANCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",56128,"40054050-0","EN EJECUCION","Sectorial","CONSTRUCCION SERVICIO DE APR DE LIPINGUE COMUNA DE LOS LAGOS","Los Ríos",12/06/24,10/08/25,2164322,"VALDIVIA","LOS LAGOS"
"Competitividad / Conectividad","Dirección de Vialidad",56122,"40058353-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIA RED VIAL REGION DEL LIBERTADOR BERNARDO OHIGGINS ","Libertador General Bernardo O'Higgins",01/01/24,29/03/25,16676386,"CACHAPOAL, CARDENAL CARO, COLCHAGUA","RANCAGUA, CODEGUA, COINCO, COLTAUCO, DOÑIHUE, GRANEROS, LAS CABRAS, MACHALI, MALLOA, MOSTAZAL, OLIVAR, PEUMO, PICHIDEGUA, QUINTA DE TILCOCO, RENGO, REQUINOA, SAN VICENTE, PICHILEMU, LA ESTRELLA, LITUECHE, MARCHIHUE, NAVIDAD, PAREDONES, SAN FERNANDO, CHEPICA, CHIMBARONGO, LOLOL, NANCAGUA, PALMILLA, PERALILLO, PLACILLA, PUMANQUE, SANTA CRUZ"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56121,"40059157-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL DE CAUCES NATURALES CUENCA DEL RÍO ANDALIÉN 2024 - 2026 ","Biobío",01/01/24,30/12/25,663477,"CONCEPCION","CONCEPCION"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56119,"40058837-0","EN EJECUCION","Sectorial","ANALISIS EMERGENCIA PRECIPITACIONES Y CRECIDAS RIOS JUNIO Y AGOSTO 2023 ZONA CENTRAL ","Interregional",31/01/24,25/01/25,380800,"VALPARAISO, CACHAPOAL, TALCA, CONCEPCION, SANTIAGO, DIGUILLÍN","VALPARAISO, RANCAGUA, TALCA, CONCEPCION, SANTIAGO, CHILLAN"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56118,"40058936-0","EN EJECUCION","Sectorial","DIAGNOSTICO HIDRÁULICO DE EMERGENCIA RÍO MATAQUITO LICANTÉN A DESEMBOCADURA, MAULE ","Maule",30/01/24,13/04/25,399269,"CURICO","LICANTEN"
"Competitividad / Conectividad","Dirección de Vialidad",56116,"40058582-0","EN EJECUCION","Sectorial","CONSERVACION DE CAMINOS EN COMUNIDADES INDIGENAS-LAFQUENMAPU-REGION DE LOS LAGOS 2023-2025 ","Los Lagos",18/06/24,10/06/26,5956119,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",56112,"40057432-0","EN EJECUCION","Sectorial","CONSERVACION POR CAMINOS BASICOS REGION DE VALPARAISO 2023-2024 ","Valparaíso",01/01/24,30/12/24,10560160,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",56111,"40058856-0","EN EJECUCION","Sectorial","CONSERVACION CAMINOS BASICO REGION DE ANTOFAGASTA 2023-2025 ","Antofagasta",01/01/23,24/12/25,10764640,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",56110,"40055557-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIA RED VIAL REGION DE ÑUBLE 2023-2024, ETAPA II ","Ñuble",30/01/24,28/08/25,21791885,"DIGUILLÍN, ITATA, PUNILLA","CHILLAN, BULNES, CHILLAN VIEJO, EL CARMEN, PEMUCO, PINTO, QUILLON, SAN IGNACIO, YUNGAY, QUIRIHUE, COBQUECURA, COELEMU, NINHUE, PORTEZUELO, RANQUIL, TREGUACO, SAN CARLOS, COIHUECO, ÑIQUEN, SAN FABIAN, SAN NICOLAS"
"Competitividad / Conectividad","Dirección de Vialidad",56109,"40058609-0","EN EJECUCION","Sectorial","CONSERVACION CAMINOS BÁSICOS REGION DE ATACAMA (2023-2025) ","Atacama",01/06/24,11/08/25,26611798,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Obras Portuarias",56089,"40032362-0","EN EJECUCION","Sectorial","MEJORAMIENTO RAMPA AUCHAC, QUELLON","Los Lagos",19/04/24,30/12/25,2817536,"CHILOE","QUELLON"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",56085,"40057231-0","EN EJECUCION","Sectorial","CONSERVACION SERVICIO SANITARIO RURAL PUERTO RAUL MARIN BALMACEDA COMUNA DE CISNES REGIÓN DE AYSEN","Aysén del General Carlos Ibáñez del Campo",01/01/24,02/01/25,1001267,"AYSEN","CISNES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",56084,"40057227-0","EN EJECUCION","Sectorial","CONSERVACION SERVICIO SANITARIO RURAL MELINKA MELINKA","Aysén del General Carlos Ibáñez del Campo",01/01/24,30/12/25,1254402,"AYSEN","GUAITECAS"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56080,"40058873-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA DE RIEGO EMBALSE BULLILEO, REGIÓN DEL MAULE 2023-2024","Maule",01/01/24,30/12/24,560777,"LINARES","PARRAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",56057,"40057289-0","TERMINADO","Sectorial","CONSERVACION RUTINARIA ÁREA DE MOVIMIENTO AERÓDROMO PICHOY - REGIÓN DE LOS RÍOS ","Los Ríos",09/03/24,01/09/24,578637,"VALDIVIA","MARIQUINA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Aeropuertos",56055,"40058449-0","EN EJECUCION","Sectorial","CONSERVACION PUNTO DE POSADA EMBALSE CONCHI","Antofagasta",01/01/23,28/11/24,599585,"EL LOA","CALAMA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56054,"40058622-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL CAMARICO, REGIÓN DE COQUIMBO  2023 -2024","Coquimbo",01/01/24,11/01/25,3323853,"LIMARI","OVALLE"
"Competitividad / Conectividad","Dirección de Vialidad",56053,"40048956-0","SIN ESTADO","Extrasectorial","MEJORAMIENTO GESTIÓN DE TRÁNSITO R160 Y PUENTE LLACOLÉN, PROVINCIA DE CONCEPCIÓN ","Biobío",,,,"CONCEPCION","CONCEPCION"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56052,"40058670-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL BELLAVISTA, REGIÓN DE COQUIMBO 2023 - 2024","Coquimbo",01/01/24,30/12/24,4139923,"ELQUI","LA SERENA, COQUIMBO"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56051,"40058731-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL LA PETACA, REGION DE VALPARAISO 2023 - 2024","Valparaíso",01/01/24,30/12/24,397937,"LOS ANDES","CALLE LARGA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56045,"40058621-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL MAULE NORTE, REGIÓN DEL MAULE  2023 -2024","Maule",01/01/24,30/12/24,668347,"TALCA","SAN CLEMENTE"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56044,"40058619-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL REMULCAO SUR, REGIÓN DEL MAULE 2023 - 2024","Maule",01/01/24,30/12/25,1904047,"LINARES","PARRAL"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56042,"40058618-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL MALLARAUCO, REGIÓN METROPOLITANA 2023 - 2024","Metropolitana de Santiago",01/01/24,30/12/24,402751,"MELIPILLA","MELIPILLA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",56040,"40056925-0","EN EJECUCION","Sectorial","CONSERVACION SSR ESPINALILLO TILTIL","Metropolitana de Santiago",27/06/24,24/12/24,413978,"CHACABUCO","TIL TIL"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56039,"40058615-0","EN EJECUCION","Sectorial","CONSERVACION SISTEMA DE RIEGO CANAL LAS MERCEDES, REGIÓN METROPOLITANA 2023 - 2024","Metropolitana de Santiago",01/01/24,30/12/24,1795278,"MELIPILLA","CURACAVI, MARIA PINTO"
"Seguridad hídrica","Dirección de Obras Hidráulicas",56037,"40058492-0","EN EJECUCION","Sectorial","CONSERVACION OBRAS DE RIEGO TRANQUE NUEVO HORIZONTE, REGION METROPOLITANA 2023-2024","Metropolitana de Santiago",01/01/24,30/12/24,124669,"MAIPO","PAINE"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56034,"40058647-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA CAUCES NATURALES COMUNA DE PTO. VARAS, REG. DE LOS LAGOS 2023-2024","Los Lagos",14/12/23,13/03/24,49104,"LLANQUIHUE","PUERTO VARAS"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56033,"40058564-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES, RIO CAUTIN, REGION DE LA ARAUCANIA 2023-2024","La Araucanía",01/01/23,18/08/24,3088755,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Aeropuertos",56027,"40057957-0","EN EJECUCION","Sectorial","CONSERVACION RUTINARIA AERODROMO SAN PEDRO DE ATACAMA 2024","Antofagasta",05/03/24,01/12/24,854361,"EL LOA","SAN PEDRO DE ATACAMA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",56026,"40058471-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA COLECTOR LA INGRATA, SISTEMA CUELLAR, LINARES, REGION DEL MAULE","Maule",29/12/23,28/03/24,216254,"LINARES","LINARES"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",55984,"40056526-0","EN EJECUCION","Sectorial","CONSTRUCCION PERGOLA PARA COMERCIALIZACION DE PRODUCTORES INDIGENAS PLAZA DE ARMAS GALVARINO","La Araucanía",13/03/24,25/12/24,479251,"CAUTIN","GALVARINO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55983,"40058322-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION METROPOLITANA 2023 - 2024","Metropolitana de Santiago",04/12/23,26/07/24,1914204,"MAIPO","SAN BERNARDO, BUIN, CALERA DE TANGO, PAINE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55969,"40053630-0","EN EJECUCION","Sectorial","CONSERVACION SSR CRUCECITA - LA MAJADA REGION DE ATACAMA","Atacama",14/05/24,01/12/24,456387,"HUASCO","ALTO DEL CARMEN"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",55959,"40057794-0","EN EJECUCION","Sectorial","CONSERVACION OBRAS TERRESTRES CALETA SAN MARCOS, Y SERVICIOS HIGIÉNICOS LOS VERDES, IQUIQUE","Tarapacá",25/03/24,21/09/24,534210,"IQUIQUE","IQUIQUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55941,"40057924-0","TERMINADO","Sectorial","CONSERVACION EMERGENCIAS SSR EL RODEO ","Maule",16/02/24,14/08/24,132234,"TALCA","CUREPTO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55940,"40057911-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE SSR EL MOLINO","Ñuble",16/05/24,13/10/24,160909,"ITATA","COBQUECURA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55937,"40057910-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE SSR MINAS DEL PRADO","Ñuble",11/01/24,10/05/24,91430,"PUNILLA","COIHUECO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55935,"40057920-0","TERMINADO","Sectorial","CONSERVACION EMERGENCIAS SSR SAUZAL ","Maule",19/02/24,19/05/24,254099,"CAUQUENES","CAUQUENES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55934,"40057919-0","EN EJECUCION","Sectorial","CONSERVACION EMERGENCIAS SSR LORA ","Maule",16/02/24,01/12/24,591434,"CURICO","LICANTEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55933,"40057918-0","TERMINADO","Sectorial","CONSERVACION EMERGENCIAS SSR EL BOLSICO ","Maule",31/01/24,29/07/24,82104,"TALCA","RIO CLARO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55932,"40057917-0","EN EJECUCION","Sectorial","CONSERVACION EMERGENCIAS SSR PEÑASCO LLEPO ","Maule",01/02/24,01/12/24,329381,"LINARES","LINARES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55928,"40057903-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE SSR BUCALEMU Y SSR LAS VIÑAS EL POTRERO","Libertador General Bernardo O'Higgins",09/11/23,30/12/24,814569,"CARDENAL CARO","PAREDONES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55926,"40057909-0","TERMINADO","Sectorial","CONSERVACION EMERGENCIA DE SSR  EL ESFUERZO DE BUENOS AIRES ","Ñuble",10/01/24,25/03/24,73843,"ITATA","PORTEZUELO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55924,"40057908-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA DE SSR MEIPO","Ñuble",20/12/23,03/02/24,24633,"ITATA","COELEMU"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55921,"40057544-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DEL BIO BIO 2023 - 2024","Biobío",13/12/23,01/11/24,1634156,"CONCEPCION","CONCEPCION"
"Competitividad / Conectividad","Dirección de Vialidad",55920,"40015686-0","TERMINADO","Extrasectorial","CONSERVACION CAMINO A LENGA, HUALPÉN ","Biobío",20/12/23,17/07/24,1302818,"CONCEPCION","HUALPEN"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55919,"40057546-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DE ÑUBLE 2023 - 2024","Ñuble",25/09/23,01/12/24,12359792,"DIGUILLÍN","CHILLAN"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55918,"40057543-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DEL MAULE 2023 - 2024","Maule",22/09/23,01/12/24,15522832,"TALCA","PENCAHUE"
"Competitividad / Conectividad","Dirección de Vialidad",55916,"40057630-0","EN EJECUCION","Sectorial","CONSERVACION POR CAMINO BASICO PROVINCIAS DE VALDIVIA Y RANCO REGION DE LOS RIOS 2023-2025 -","Los Ríos",01/01/23,30/12/25,10507927,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55915,"40057542-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA DE CAUCES NATURALES REGION DE OHIGGINS 2023 - 2024","Libertador General Bernardo O'Higgins",21/08/23,30/12/25,11566382,"CACHAPOAL","GRANEROS"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",55910,"40057620-0","TERMINADO","Sectorial","CONSERVACION de emergencia CANALIZO DE ACCESO CALETA CURANIPE","Maule",19/03/24,27/06/24,153363,"CAUQUENES","PELLUHUE"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",55907,"40057612-0","EN EJECUCION","Sectorial","CONSERVACION de emergencia INFRAESTRUCTURA DE APOYO CALETA LLICO","Maule",27/06/24,23/01/25,369799,"CURICO","VICHUQUEN"
"Competitividad / Conectividad","Dirección de Vialidad",55906,"40048592-0","EN EJECUCION","Sectorial","CONSERVACION SEGURIDAD VIAL ZONAS DE ESCUELA 2023-2024, PROV. ELQUI, LIMARÍ Y CHOAPA","Coquimbo",17/05/24,07/02/25,1749511,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55896,"40056989-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA COLECTOR LONCO COMUNA DE CHIGUAYANTE, REGION DEL BIOBIO","Biobío",29/09/23,26/05/24,1976455,"CONCEPCION","CHIGUAYANTE"
"Competitividad / Conectividad","Dirección de Vialidad",55892,"40056503-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIAS RED VIAL REGION DEL BIOBIO 2023-2024-2025. INVIERNO 2023 ","Biobío",07/12/23,21/03/26,9430392,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",55886,"40056898-0","EN EJECUCION","Sectorial","CONSERVACION POR CAMINOS BASICOS PROVINCIA DE MALLECO 1 2023-2025 BUEN VIVIR ","La Araucanía",01/01/23,10/02/26,21472896,"MALLECO","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",55882,"40056990-0","EN EJECUCION","Sectorial","CONSERVACION DE EMERGENCIA COLECTOR PRIMARIO REÑACA NORTE, COMUNA DE VIÑA DEL MAR, VALPARAISO","Valparaíso",01/09/23,27/07/25,33670549,"VALPARAISO","VIÑA DEL MAR"
"Seguridad hídrica","Dirección de Obras Hidráulicas",55879,"40057288-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA OBRAS DE RIEGO FISCAL ALEDAÑAS AL RIO ACONCAGUA REG. VALPO. 2023","Valparaíso",01/09/23,29/02/24,2743487,"SAN FELIPE","CATEMU"
"Seguridad hídrica","Dirección de Obras Hidráulicas",55878,"40057312-0","TERMINADO","Sectorial","CONSERVACION DE EMERGENCIA EMBALSE ANCOA, REGION DEL MAULE 2023","Maule",04/10/23,02/01/24,239136,"LINARES","COLBUN"
"Competitividad / Conectividad","Dirección de Vialidad",55877,"40047619-0","EN EJECUCION","Extrasectorial","CONSERVACION CAMINO BASICO RUTAS O-350 Y O-14-N, COMUNA DE TOMÉ ","Biobío",10/01/24,04/01/25,1428713.846,"CONCEPCION","TOME"
"Competitividad / Conectividad","Dirección de Vialidad",55875,"40045845-0","EN EJECUCION","Extrasectorial","CONSERVACION CAMINO BÁSICO RUTAS Q-681 Y S/R Q-629, COMUNA DE SANTA BÁRBARA, PROVINCIA BIOBÍO ","Biobío",19/12/23,13/12/24,1784480.764,"BIO BIO","SANTA BARBARA"
"Competitividad / Conectividad","Dirección de Vialidad",55874,"40045202-0","EN EJECUCION","Extrasectorial","CONSERVACION CAMINO BASICO RUTA Q-449, COMUNA DE QUILLECO ","Biobío",23/11/23,18/09/24,1197679.359,"BIO BIO","QUILLECO"
"Competitividad / Conectividad","Dirección de Vialidad",55873,"40056844-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIAS RED VIAL REGION DEL LIBERTADOR BERNARDO OHIGGINS ","Libertador General Bernardo O'Higgins",01/01/23,10/05/25,12341536,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55872,"40056233-0","EN EJECUCION","Sectorial","CONSERVACION SSR SAN FÉLIX, REGIÓN DE ATACAMA ","Atacama",23/04/24,26/12/24,502864,"HUASCO","ALTO DEL CARMEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55871,"40053028-0","EN EJECUCION","Sectorial","CONSERVACION SERVICIO SANITARIO RURAL LA LÍNEA, COMUNA DE ALHUÉ, REGIÓN METROPOLITANA","Metropolitana de Santiago",29/12/23,01/12/24,654506,"MELIPILLA","ALHUE"
"Competitividad / Conectividad","Dirección de Vialidad",55870,"40056895-0","EN EJECUCION","Sectorial","CONSERVACION CAMINOS COMUNIDADES INDIGENAS CAUTIN Y MALLECO 2023-2025 BUEN VIVIR ","La Araucanía",01/01/23,30/12/25,10276365,"CAUTIN, MALLECO","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",55864,"40056828-0","EN EJECUCION","Sectorial","CONSERVACION SERVICIO SANITARIO RURAL QUILAPILUN, REGIÓN METROPOLITANA","Metropolitana de Santiago",18/06/24,15/03/25,661922,"CHACABUCO","COLINA"
"Competitividad / Conectividad","Dirección de Vialidad",55861,"40056930-0","EN EJECUCION","Sectorial","CONSERVACION POR EMERGENCIAS RED VIAL REGION DEL MAULE 2023-2024 ","Maule",02/04/24,21/05/25,74989078,"INTERPROVINCIAL","INTERCOMUNAL"
