"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45941,"30398623-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN APR LOS CARROS-VILLA ROSA HACIA PANTANILLO","Maule",14/11/16,12/12/17,2482934,"LINARES","PARRAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45940,"30371040-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR EL ESTERO, PENCAHUE","Maule",05/10/16,01/07/17,738264,"TALCA","PENCAHUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45939,"30432072-0","TERMINADO","Sectorial","MEJORAMIENTO SERVICIO APR LA ALIANZA DE LA COMUNA DE RENGO","Libertador General Bernardo O'Higgins",23/11/16,21/06/17,461363,"CACHAPOAL","RENGO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45938,"30383328-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACION SERVICIO APR LOS GUAICOS","Maule",15/05/17,10/05/18,2866873,"CURICO","ROMERAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45937,"30365622-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR LA PUNTILLA, LONGAVI","Maule",05/10/16,05/10/17,701652,"LINARES","LONGAVI"
"Competitividad / Conectividad","Dirección de Vialidad",45929,"30458847-0","PREFACTIBILIDAD","Sectorial","CONSTRUCCION CAMINO CALETA 2 DE MAYO-LAGO ERRAZURIZ-RIO LAPATAIA","Magallanes y de la Antártica Chilena",01/01/20,11/08/22,491553,"ANTARTICA CHILENA","CABO DE HORNOS"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",45925,"30434981-0","TERMINADO","Sectorial","RESTAURACION ASCENSOR CONCEPCION COMUNA DE VALPARAISO","Valparaíso",01/01/16,18/11/20,2885484,"VALPARAISO","VALPARAISO"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",45923,"30449128-0","TERMINADO","Sectorial","CONSERVACION DE LAS RIBERAS DE CAUCES NATURALES REGIÓN  ANTOFAGASTA","Antofagasta",18/10/16,11/12/21,10873808,"ANTOFAGASTA, EL LOA","ANTOFAGASTA, CALAMA, SAN PEDRO DE ATACAMA"
"Seguridad hídrica","Dirección de Obras Hidráulicas",45922,"30449126-0","TERMINADO","Sectorial","CONSERVACION OBRAS FISCALES DE RIEGO REGIÓN DE ANTOFAGASTA","Antofagasta",01/01/18,23/03/24,13231922,"ANTOFAGASTA, EL LOA","ANTOFAGASTA, CALAMA, SAN PEDRO DE ATACAMA"
"Competitividad / Conectividad","Dirección de Aeropuertos",45918,"30459257-0","TERMINADO","Sectorial","CONSERVACION MAYOR ÁREA DE MOVIMIENTO AEROPUERTO CHACALLUTA FASE IV","Arica y Parinacota",01/01/17,23/08/19,4961920,"ARICA","ARICA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45908,"30369474-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA AGUA POTABLE RURAL CHUJLLUTA","Arica y Parinacota",12/11/19,17/09/20,639550,"PARINACOTA","GENERAL LAGOS"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45907,"30434831-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA AGUA POTABLE RURAL LLUTA, COMUNA DE ARICA","Arica y Parinacota",08/05/17,26/08/19,6682502,"ARICA","ARICA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45906,"30418837-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA APR LOCALIDAD DE CAMARONES, COMUNA DE CAMARONES","Arica y Parinacota",10/09/20,06/01/23,1780614,"ARICA","CAMARONES"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",45905,"30437460-0","TERMINADO","Sectorial","MEJORAMIENTO CAPTACIÓN VILLA FRONTERA Y LA PONDEROSA, COMUNA ARICA","Arica y Parinacota",21/06/18,12/02/20,4417961,"ARICA","ARICA"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",45902,"30448372-0","TERMINADO","Sectorial","CONSERVACION DE RIBERAS DE CAUCES NATURALES 2018-2022, XII REGIÓN","Magallanes y de la Antártica Chilena",01/01/18,17/11/21,2881039,"MAGALLANES, TIERRA DEL FUEGO, ULTIMA ESPERANZA","PUNTA ARENAS, PRIMAVERA, NATALES"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",45901,"30390924-0","TERMINADO","Mixto","CONSTRUCCION OBRAS DE CONTROL ALUVIONAL QUEB. URIBE, ANTOFAGASTA","Antofagasta",14/06/16,27/12/19,5198874.623,"ANTOFAGASTA","ANTOFAGASTA"
"Competitividad / Conectividad","Dirección de Vialidad",45881,"30447978-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL X REGIÓN 2017-2021","Los Lagos",01/01/18,01/12/24,35676065,"LLANQUIHUE, OSORNO, PALENA","LOS MUERMOS, MAULLIN, PUERTO VARAS, PUYEHUE, SAN JUAN DE LA COSTA, SAN PABLO, CHAITEN, FUTALEUFU, HUALAIHUE, PALENA"
"Competitividad / Conectividad","Dirección de Vialidad",45880,"30447979-0","TERMINADO","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL XIV REGIÓN 2017-2021","Los Ríos",01/01/17,07/12/22,28889193,"VALDIVIA, RANCO","CORRAL, LANCO, LOS LAGOS, MAFIL, PAILLACO, PANGUIPULLI, LA UNION, FUTRONO, LAGO RANCO, RIO BUENO"
"Competitividad / Conectividad","Dirección de Vialidad",45876,"30447975-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL VIII REGIÓN 2017-2021","Biobío",31/08/17,01/12/24,63978486,"CONCEPCION, ARAUCO, BIO BIO","CHIGUAYANTE, PENCO, SAN PEDRO DE LA PAZ, SANTA JUANA, TALCAHUANO, CAÑETE, CURANILAHUE, LOS ALAMOS, LOS ANGELES, NACIMIENTO"
"Competitividad / Conectividad","Dirección de Vialidad",45875,"30447974-0","TERMINADO","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL VII REGIÓN 2017-2021","Maule",01/01/18,01/09/24,12015043,"TALCA, CAUQUENES, CURICO, LINARES","CONSTITUCION, EMPEDRADO, PENCAHUE, CHANCO, PELLUHUE, RAUCO, SAGRADA FAMILIA, TENO, VICHUQUEN, LONGAVI"
"Competitividad / Conectividad","Dirección de Vialidad",45874,"30447937-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL VI REGIÓN 2017-2021","Libertador General Bernardo O'Higgins",01/01/17,01/12/24,78571891,"CACHAPOAL, CARDENAL CARO, COLCHAGUA","RANCAGUA, CODEGUA, COINCO, COLTAUCO, DOÑIHUE, GRANEROS, LAS CABRAS, MACHALI, MALLOA, MOSTAZAL, OLIVAR, PEUMO, PICHIDEGUA, QUINTA DE TILCOCO, RENGO, REQUINOA, SAN VICENTE, PICHILEMU, LA ESTRELLA, LITUECHE, MARCHIHUE, NAVIDAD, PAREDONES, SAN FERNANDO, CHEPICA, CHIMBARONGO, LOLOL, NANCAGUA, PALMILLA, PERALILLO, PLACILLA, PUMANQUE, SANTA CRUZ"
"Competitividad / Conectividad","Dirección de Vialidad",45873,"30447972-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL IV REGIÓN 2017-2021","Coquimbo",01/01/17,01/10/24,54502775,"ELQUI, CHOAPA, LIMARI","LA HIGUERA, PAIGUANO, VICUÑA, ILLAPEL, CANELA, LOS VILOS, OVALLE, COMBARBALA, MONTE PATRIA"
